candidate,input_scenario,alpha,clinical_covariance_model,method,target_joint_success_probability,N_continuous,N,achieved_joint_success_probability,allocation_A,allocation_B,allocation_AB,marginal_power_AB_minus_A,marginal_power_AB_minus_B,reason,case_role,component_a,component_b,combination,delta_ab_minus_a,delta_ab_minus_b,valid_design_input
BKM120 + binimetinib,plug_in,0.025,independent_arms,equal allocation,0.8,1402.57,1404,0.8,0.333,0.333,0.333,1,0.8,NA,cautionary_sensitivity_case,BKM120,binimetinib,BKM120 + binimetinib,0.524,0.183,TRUE
BKM120 + binimetinib,plug_in,0.025,independent_arms,joint-decision optimized allocation,0.8,1041.35,1042,0.8,0.1,0.45,0.45,0.998,0.801,NA,cautionary_sensitivity_case,BKM120,binimetinib,BKM120 + binimetinib,0.524,0.183,TRUE
BKM120 + binimetinib,bootstrap_lower_95_effects,0.025,independent_arms,no finite design under selected lower-bound effects,0.8,NA,NA,NA,NA,NA,NA,NA,NA,At least one selected contribution-effect input is not positive.,cautionary_sensitivity_case,BKM120,binimetinib,BKM120 + binimetinib,0.284,-0.065,FALSE
BYL719 + LEE011,plug_in,0.025,independent_arms,equal allocation,0.8,73.916,75,0.807,0.333,0.333,0.333,0.848,0.924,NA,strong_comparison_case,BYL719,LEE011,BYL719 + LEE011,0.845,0.96,TRUE
BYL719 + LEE011,plug_in,0.025,independent_arms,joint-decision optimized allocation,0.8,71.891,72,0.801,0.332,0.269,0.4,0.865,0.902,NA,strong_comparison_case,BYL719,LEE011,BYL719 + LEE011,0.845,0.96,TRUE
BYL719 + LEE011,bootstrap_lower_95_effects,0.025,independent_arms,equal allocation,0.8,182.507,183,0.801,0.333,0.333,0.333,0.876,0.883,NA,strong_comparison_case,BYL719,LEE011,BYL719 + LEE011,0.564,0.571,TRUE
BYL719 + LEE011,bootstrap_lower_95_effects,0.025,independent_arms,joint-decision optimized allocation,0.8,179.284,180,0.802,0.304,0.298,0.397,0.881,0.885,NA,strong_comparison_case,BYL719,LEE011,BYL719 + LEE011,0.564,0.571,TRUE
BYL719 + binimetinib,plug_in,0.025,independent_arms,equal allocation,0.8,179.596,180,0.801,0.333,0.333,0.333,0.843,0.922,NA,primary_continuity_case,BYL719,binimetinib,BYL719 + binimetinib,0.542,0.616,TRUE
BYL719 + binimetinib,plug_in,0.025,independent_arms,joint-decision optimized allocation,0.8,174.634,175,0.801,0.332,0.268,0.4,0.862,0.905,NA,primary_continuity_case,BYL719,binimetinib,BYL719 + binimetinib,0.542,0.616,TRUE
BYL719 + binimetinib,bootstrap_lower_95_effects,0.025,independent_arms,equal allocation,0.8,768.822,769,0.8,0.333,0.333,0.333,0.811,0.972,NA,primary_continuity_case,BYL719,binimetinib,BYL719 + binimetinib,0.251,0.342,TRUE
BYL719 + binimetinib,bootstrap_lower_95_effects,0.025,independent_arms,joint-decision optimized allocation,0.8,712.478,713,0.8,0.37,0.221,0.409,0.839,0.933,NA,primary_continuity_case,BYL719,binimetinib,BYL719 + binimetinib,0.251,0.342,TRUE
LEE011 + encorafenib,plug_in,0.025,independent_arms,equal allocation,0.8,89.144,90,0.804,0.333,0.333,0.333,0.823,0.957,NA,strong_comparison_case,LEE011,encorafenib,LEE011 + encorafenib,0.745,0.95,TRUE
LEE011 + encorafenib,plug_in,0.025,independent_arms,joint-decision optimized allocation,0.8,84.453,85,0.803,0.357,0.239,0.405,0.85,0.924,NA,strong_comparison_case,LEE011,encorafenib,LEE011 + encorafenib,0.745,0.95,TRUE
LEE011 + encorafenib,bootstrap_lower_95_effects,0.025,independent_arms,equal allocation,0.8,227.977,228,0.8,0.333,0.333,0.333,0.802,0.993,NA,strong_comparison_case,LEE011,encorafenib,LEE011 + encorafenib,0.456,0.716,TRUE
LEE011 + encorafenib,bootstrap_lower_95_effects,0.025,independent_arms,joint-decision optimized allocation,0.8,199.34,200,0.802,0.395,0.185,0.419,0.828,0.953,NA,strong_comparison_case,LEE011,encorafenib,LEE011 + encorafenib,0.456,0.716,TRUE
