Model,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-007,BGJ398,FGFR,single,396.5,11,220.475,11,4,11,PD
X-007,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,189.1,14,77.05,11,6.20754717,14,PD
X-007,BYL719,PIK3CA,single,303.7,11,196.175,11,4,11,PD
X-007,BYL719 + HSP990,"PIK3CA,HSP90",combo,-12.7,9,8.716666667,16,27.99360614,30,SD-->PD
X-007,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,47.9,20,40.625,13,22.83152174,30,PD
X-007,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,25,16,26.53333333,16,36.835,37,SD
X-007,HDM201,MDM2,single,330.8,11,182.75,11,4,11,PD
X-007,figitumumab,IGF1R,single,428.7,10,153.55,10,4.855973813,10,PD
X-007,HSP990,HSP90,single,-29.9,15,-21.84,15,28.14425163,29,SD-->PD
X-007,INC280,MET,single,474.6,13,202,13,3,13,PD
X-007,INC280 + trastuzumab,"ERBB2,MET",combo,176,20,142.36,13,3,30,PD
X-007,LEE011,"CDK4,CDK6,CDK4/6",single,405.2,11,230.525,11,4,11,PD
X-007,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,-1.1,13,32.22,13,13,13,PD
X-007,LJM716,ERBB3,single,727.4,13,284.64,13,3,13,PD
X-007,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,545.6,13,265.46,13,3,13,PD
X-007,LLM871,FGFR2/4,single,458,11,213.25,11,4,11,PD
X-007,binimetinib,"MAP2K1,MAP2K2,MAPK",single,55.9,27,51.66,13,30,30,PD
X-007,everolimus,MTOR,single,193.1,26,68.125,12,7.405172414,33,PD
X-007,trastuzumab,ERBB2,single,233.6,20,51.16,13,8.12244898,31,PD
X-010,BGJ398,FGFR,single,-65.1,60,-5.311111111,112,138.2949438,157,SD-->-->PD
X-010,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,49.1,21,18.8,11,38.70114943,77,PD
X-010,BYL719,PIK3CA,single,98.5,21,12.675,11,21.6,38,PD
X-010,BYL719 + HSP990,"PIK3CA,HSP90",combo,-10.7,10,-0.08,14,75.05246423,91,SD-->PD
X-010,BYL719 + LJM716,"PIK3CA,ERBB3,ERBB3,PIK3CA",combo,342.8,21,132.82,14,5.686971235,21,PD
X-010,CLR457,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,24,16,28.96666667,16,30,30,SD
X-010,HDM201,MDM2,single,105,20,21.48,14,18.54368932,42,PD
X-010,figitumumab,IGF1R,single,114.9,20,16.28,14,16.20915033,34,PD
X-010,HSP990,HSP90,single,382.6,14,147.1,14,7.027777778,14,PD
X-010,INC280,MET,single,307.9,21,62.06,14,11.50861519,21,PD
X-010,INC280 + trastuzumab,"ERBB2,MET",combo,213.7,23,10.9,11,19.66568915,31,PD
X-010,LEE011,"CDK4,CDK6,CDK4/6",single,-15.5,88,4.1,14,111,111,SD-->PD
X-010,LEE011 + everolimus,"CDK4,CDK6,MTOR,CDK4/6",combo,-45.9,26,-26.85,66,118,118,SD
X-010,LJM716,ERBB3,single,308.8,21,132.32,14,4.632587859,21,PD
X-010,LJM716 + trastuzumab,"ERBB3,ERBB2",combo,185.2,26,53.14,14,12.88219178,48,PD
X-010,LLM871,FGFR2/4,single,-100,30,-50.08235294,66,144.0318841,155,CR-->-->PD
X-010,binimetinib,"MAP2K1,MAP2K2,MAPK",single,63.8,34,62.12,14,6.62541806,58,PD
X-010,everolimus,MTOR,single,140,21,33.33333333,11,16.49773756,38,PD
X-010,trastuzumab,ERBB2,single,155.2,21,21.025,11,14.46521739,46,PD
X-010,untreated,"UNKNOWN,Untreated",single,244.3,24,19.28,12,16.90222222,33,PD
X-011,BGJ398,FGFR,single,182.9,20,36.34,13,14.52848101,24,PD
X-011,BKM120,"PIK3CA,PIK3CB,PIK3CG,PIK3CD,panPI3K",single,145.8,21,28.7,12,17.72857143,60,PD
X-011,BYL719,PIK3CA,single,152,21,40.25,12,11.63101604,60,PD
