"scenario_label","scenario_family","method_id","claim_regime","allocation_strategy","alpha","N","nrep","truth_delta_AB_minus_A","truth_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","empirical_false_full_contribution","empirical_false_full_contribution_lcl","empirical_false_full_contribution_ucl","analytic_false_full_contribution","empirical_any_true_reject","empirical_any_true_reject_lcl","empirical_any_true_reject_ucl","analytic_any_true_reject"
"global_null","global_null","equal_iut_full","full_contribution","equal",0.025,240,50000,0,0,0,0,0.00526,0.004626,0.005894,0.004622,0.04692,0.045066,0.048774,0.045378
"global_null","global_null","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,240,50000,0,0,0,0,0.00386,0.003316,0.004404,0.003493,0.04928,0.047383,0.051177,0.046507
"global_null","global_null","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,50000,0,0,0,0,0.0047,0.0041,0.0053,0.004622,0.04642,0.044576,0.048264,0.045378
"global_null","global_null","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,50000,0,0,0,0,0.00458,0.003988,0.005172,0.004622,0.04708,0.045223,0.048937,0.045378
"global_null","global_null","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,50000,0,0,0,0,0.00486,0.00425,0.00547,0.004622,0.04604,0.044203,0.047877,0.045378
"global_null","global_null","equal_maxT_separate","separate_component_claims","equal",0.025,240,50000,0,0,0,0,0.00194,0.001554,0.002326,0.001957,0.02452,0.023164,0.025876,0.025
"partial_null_AB_minus_A","partial_null","equal_iut_full","full_contribution","equal",0.025,240,50000,0,0.45,0,0,0.02476,0.023398,0.026122,0.024756,0.02502,0.023651,0.026389,0.025
"partial_null_AB_minus_A","partial_null","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,240,50000,0,0.45,0,0,0.02496,0.023593,0.026327,0.024499,0.02546,0.024079,0.026841,0.025
"partial_null_AB_minus_A","partial_null","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,50000,0,0.45,0,0,0.02488,0.023515,0.026245,0.024756,0.02516,0.023787,0.026533,0.025
"partial_null_AB_minus_A","partial_null","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,50000,0,0.45,0,0,0.02512,0.023748,0.026492,0.024756,0.02526,0.023885,0.026635,0.025
"partial_null_AB_minus_A","partial_null","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,50000,0,0.45,0,0,0.02494,0.023573,0.026307,0.024756,0.02518,0.023807,0.026553,0.025
"partial_null_AB_minus_A","partial_null","equal_maxT_separate","separate_component_claims","equal",0.025,240,50000,0,0.45,0,0,0.01456,0.01351,0.01561,0.013281,0.01476,0.013703,0.015817,0.013479
"partial_null_AB_minus_B","partial_null","equal_iut_full","full_contribution","equal",0.025,240,50000,0.45,0,0,0,0.02434,0.022989,0.025691,0.024756,0.02454,0.023184,0.025896,0.025
"partial_null_AB_minus_B","partial_null","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,240,50000,0.45,0,0,0,0.0256,0.024216,0.026984,0.024499,0.02612,0.024722,0.027518,0.025
"partial_null_AB_minus_B","partial_null","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,50000,0.45,0,0,0,0.02572,0.024332,0.027108,0.024756,0.02598,0.024586,0.027374,0.025
"partial_null_AB_minus_B","partial_null","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,50000,0.45,0,0,0,0.02424,0.022892,0.025588,0.024756,0.02462,0.023262,0.025978,0.025
"partial_null_AB_minus_B","partial_null","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,50000,0.45,0,0,0,0.0267,0.025287,0.028113,0.024756,0.0268,0.025384,0.028216,0.025
"partial_null_AB_minus_B","partial_null","equal_maxT_separate","separate_component_claims","equal",0.025,240,50000,0.45,0,0,0,0.01376,0.012739,0.014781,0.013281,0.01398,0.012951,0.015009,0.013479
"heavy_tail_global_null","distribution_sensitivity","equal_iut_full","full_contribution","equal",0.025,300,50000,0,0,0,0,0.00464,0.004044,0.005236,0.004622,0.04606,0.044223,0.047897,0.045378
"heavy_tail_global_null","distribution_sensitivity","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,300,50000,0,0,0,0,0.00376,0.003224,0.004296,0.003531,0.04812,0.046244,0.049996,0.046469
"heavy_tail_global_null","distribution_sensitivity","plugin_iut_full","full_contribution","plugin_joint_success",0.025,300,50000,0,0,0,0,0.00482,0.004213,0.005427,0.004622,0.04532,0.043497,0.047143,0.045378
"heavy_tail_global_null","distribution_sensitivity","conservative_iut_full","full_contribution","conservative_joint_success",0.025,300,50000,0,0,0,0,0.00494,0.004325,0.005555,0.004622,0.04612,0.044282,0.047958,0.045378
"heavy_tail_global_null","distribution_sensitivity","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,300,50000,0,0,0,0,0.0049,0.004288,0.005512,0.004622,0.04618,0.04434,0.04802,0.045378
"heavy_tail_global_null","distribution_sensitivity","equal_maxT_separate","separate_component_claims","equal",0.025,300,50000,0,0,0,0,0.00218,0.001771,0.002589,0.001957,0.02684,0.025423,0.028257,0.025
