"scenario_label","scenario_family","method_id","claim_regime","allocation_strategy","alpha","N","nrep","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","allocation_A","allocation_B","allocation_AB","empirical_joint_success","empirical_joint_success_lcl","empirical_joint_success_ucl","analytic_joint_success","planned_analytic_joint_success","empirical_marginal_power_AB_minus_A","empirical_marginal_power_AB_minus_B"
"balanced_positive","alternative","equal_iut_full","full_contribution","equal",0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.70506,0.701063,0.709057,0.704031,0.704031,0.81226,0.81138
"balanced_positive","alternative","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.292893,0.292893,0.414214,0.71156,0.707589,0.715531,0.710662,0.710662,0.82582,0.82056
"balanced_positive","alternative","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.70274,0.698734,0.706746,0.704031,0.704031,0.81208,0.81074
"balanced_positive","alternative","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.70598,0.701986,0.709974,0.704031,0.704031,0.81306,0.8147
"balanced_positive","alternative","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.70136,0.697348,0.705372,0.704031,0.704031,0.8103,0.81082
"balanced_positive","alternative","equal_maxT_separate","separate_component_claims","equal",0.025,240,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.6089,0.604623,0.613177,0.603361,0.603361,0.74,0.73972
"limiting_AB_minus_A","alternative","equal_iut_full","full_contribution","equal",0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.333333,0.333333,0.333333,0.45208,0.447717,0.456443,0.44821,0.44821,0.45624,0.9517
"limiting_AB_minus_A","alternative","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.292893,0.292893,0.414214,0.45684,0.452474,0.461206,0.457813,0.457813,0.46278,0.95664
"limiting_AB_minus_A","alternative","plugin_iut_full","full_contribution","plugin_joint_success",0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.39677,0.201108,0.402121,0.50292,0.498537,0.507303,0.499475,0.499475,0.52698,0.89962
"limiting_AB_minus_A","alternative","conservative_iut_full","full_contribution","conservative_joint_success",0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.36603,0.270401,0.363569,0.47692,0.472542,0.481298,0.478501,0.478501,0.48732,0.937
"limiting_AB_minus_A","alternative","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.403847,0.192305,0.403847,0.50462,0.500237,0.509003,0.500391,0.500391,0.53022,0.89448
"limiting_AB_minus_A","alternative","equal_maxT_separate","separate_component_claims","equal",0.025,260,50000,0.28,0.55,0.28,0.55,0,0,0.333333,0.333333,0.333333,0.35428,0.350088,0.358472,0.34992,0.34992,0.36002,0.91868
"limiting_AB_minus_B","alternative","equal_iut_full","full_contribution","equal",0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.333333,0.333333,0.333333,0.44984,0.445479,0.454201,0.44821,0.44821,0.95108,0.45412
"limiting_AB_minus_B","alternative","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.292893,0.292893,0.414214,0.45936,0.454992,0.463728,0.457813,0.457813,0.95746,0.46564
"limiting_AB_minus_B","alternative","plugin_iut_full","full_contribution","plugin_joint_success",0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.201108,0.39677,0.402121,0.49794,0.493557,0.502323,0.499475,0.499475,0.90032,0.52176
"limiting_AB_minus_B","alternative","conservative_iut_full","full_contribution","conservative_joint_success",0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.270401,0.36603,0.363569,0.47874,0.474361,0.483119,0.478501,0.478501,0.93702,0.48828
"limiting_AB_minus_B","alternative","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.192305,0.403847,0.403847,0.50188,0.497497,0.506263,0.500391,0.500391,0.89246,0.52916
"limiting_AB_minus_B","alternative","equal_maxT_separate","separate_component_claims","equal",0.025,260,50000,0.55,0.28,0.55,0.28,0,0,0.333333,0.333333,0.333333,0.35208,0.347893,0.356267,0.34992,0.34992,0.91938,0.35772
"positive_margin","margin_sensitivity","equal_iut_full","full_contribution","equal",0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,0.78066,0.777033,0.784287,0.782826,0.782826,0.86792,0.8626
"positive_margin","margin_sensitivity","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.292893,0.292893,0.414214,0.79066,0.787094,0.794226,0.791032,0.791032,0.87682,0.87554
"positive_margin","margin_sensitivity","plugin_iut_full","full_contribution","plugin_joint_success",0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,0.78264,0.779025,0.786255,0.782826,0.782826,0.86758,0.86614
"positive_margin","margin_sensitivity","conservative_iut_full","full_contribution","conservative_joint_success",0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,0.78458,0.780976,0.788184,0.782826,0.782826,0.86894,0.86794
"positive_margin","margin_sensitivity","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,0.7792,0.775564,0.782836,0.782826,0.782826,0.86648,0.8626
"positive_margin","margin_sensitivity","equal_maxT_separate","separate_component_claims","equal",0.025,280,50000,0.55,0.55,0.55,0.55,0.1,0.1,0.333333,0.333333,0.333333,0.69196,0.687913,0.696007,0.694592,0.694592,0.8003,0.80352
"unequal_variance_positive","variance_sensitivity","equal_iut_full","full_contribution","equal",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.70242,0.698413,0.706427,0.706423,0.706423,0.80158,0.83646
"unequal_variance_positive","variance_sensitivity","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.292893,0.292893,0.414214,0.6993,0.695281,0.703319,0.697813,0.697813,0.80422,0.83746
"unequal_variance_positive","variance_sensitivity","plugin_iut_full","full_contribution","plugin_joint_success",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.7036,0.699597,0.707603,0.706423,0.706423,0.80482,0.83474
"unequal_variance_positive","variance_sensitivity","conservative_iut_full","full_contribution","conservative_joint_success",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.70486,0.700862,0.708858,0.706423,0.706423,0.80414,0.83584
"unequal_variance_positive","variance_sensitivity","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.70294,0.698935,0.706945,0.706423,0.706423,0.80074,0.83532
"unequal_variance_positive","variance_sensitivity","equal_maxT_separate","separate_component_claims","equal",0.025,270,50000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.60098,0.596688,0.605272,0.600648,0.600648,0.72426,0.76364
"overoptimistic_planning","effect_misspecification","equal_iut_full","full_contribution","equal",0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.36298,0.358765,0.367195,0.359181,0.888537,0.5284,0.53152
"overoptimistic_planning","effect_misspecification","shared_arm_iut_full","full_contribution","shared_arm_benchmark",0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.292893,0.292893,0.414214,0.35594,0.351743,0.360137,0.355662,0.895639,0.53702,0.53696
"overoptimistic_planning","effect_misspecification","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,50000,0.32,0.32,0.55,0.55,0,0,0.333333,0.333333,0.333333,0.36196,0.357748,0.366172,0.359181,0.888537,0.52732,0.52306
