"scenario_label","scenario_family","method_id","claim_regime","variance_method","distribution","alpha","N","nrep","empirical_joint_success","empirical_joint_success_lcl","empirical_joint_success_ucl","analytic_joint_success","empirical_false_full_contribution","empirical_any_true_reject"
"positive_margin","margin_sensitivity","equal_iut_full","full_contribution","common","normal",0.025,280,50000,0.78066,0.777033,0.784287,0.782826,NA,NA
"positive_margin","margin_sensitivity","shared_arm_iut_full","full_contribution","common","normal",0.025,280,50000,0.79066,0.787094,0.794226,0.791032,NA,NA
"positive_margin","margin_sensitivity","plugin_iut_full","full_contribution","common","normal",0.025,280,50000,0.78264,0.779025,0.786255,0.782826,NA,NA
"positive_margin","margin_sensitivity","conservative_iut_full","full_contribution","common","normal",0.025,280,50000,0.78458,0.780976,0.788184,0.782826,NA,NA
"positive_margin","margin_sensitivity","marginal_iut_full","full_contribution","common","normal",0.025,280,50000,0.7792,0.775564,0.782836,0.782826,NA,NA
"positive_margin","margin_sensitivity","equal_maxT_separate","separate_component_claims","common","normal",0.025,280,50000,0.69196,0.687913,0.696007,0.694592,NA,NA
"unequal_variance_positive","variance_sensitivity","equal_iut_full","full_contribution","welch","normal",0.025,270,50000,0.70242,0.698413,0.706427,0.706423,NA,NA
"unequal_variance_positive","variance_sensitivity","shared_arm_iut_full","full_contribution","welch","normal",0.025,270,50000,0.6993,0.695281,0.703319,0.697813,NA,NA
"unequal_variance_positive","variance_sensitivity","plugin_iut_full","full_contribution","welch","normal",0.025,270,50000,0.7036,0.699597,0.707603,0.706423,NA,NA
"unequal_variance_positive","variance_sensitivity","conservative_iut_full","full_contribution","welch","normal",0.025,270,50000,0.70486,0.700862,0.708858,0.706423,NA,NA
"unequal_variance_positive","variance_sensitivity","marginal_iut_full","full_contribution","welch","normal",0.025,270,50000,0.70294,0.698935,0.706945,0.706423,NA,NA
"unequal_variance_positive","variance_sensitivity","equal_maxT_separate","separate_component_claims","welch","normal",0.025,270,50000,0.60098,0.596688,0.605272,0.600648,NA,NA
"heavy_tail_global_null","distribution_sensitivity","equal_iut_full","full_contribution","common","t5",0.025,300,50000,0.00464,0.004044,0.005236,0.004622,0.00464,0.04606
"heavy_tail_global_null","distribution_sensitivity","shared_arm_iut_full","full_contribution","common","t5",0.025,300,50000,0.00376,0.003224,0.004296,0.003531,0.00376,0.04812
"heavy_tail_global_null","distribution_sensitivity","plugin_iut_full","full_contribution","common","t5",0.025,300,50000,0.00482,0.004213,0.005427,0.004622,0.00482,0.04532
"heavy_tail_global_null","distribution_sensitivity","conservative_iut_full","full_contribution","common","t5",0.025,300,50000,0.00494,0.004325,0.005555,0.004622,0.00494,0.04612
"heavy_tail_global_null","distribution_sensitivity","marginal_iut_full","full_contribution","common","t5",0.025,300,50000,0.0049,0.004288,0.005512,0.004622,0.0049,0.04618
"heavy_tail_global_null","distribution_sensitivity","equal_maxT_separate","separate_component_claims","common","t5",0.025,300,50000,0.00218,0.001771,0.002589,0.001957,0.00218,0.02684
