"scenario_label","scenario_family","method_id","claim_regime","allocation_strategy","alpha","N","nrep","truth_delta_AB_minus_A","truth_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","empirical_false_full_contribution","empirical_false_full_contribution_lcl","empirical_false_full_contribution_ucl","analytic_false_full_contribution","empirical_any_true_reject","empirical_any_true_reject_lcl","empirical_any_true_reject_ucl","analytic_any_true_reject"
"global_null","global_null","equal_iut_full","full_contribution","equal",0.025,240,3000,0,0,0,0,0.004,0.001741,0.006259,0.004622,0.047333,0.039734,0.054932,0.045378
"global_null","global_null","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,3000,0,0,0,0,0.004,0.001741,0.006259,0.004622,0.043,0.035741,0.050259,0.045378
"global_null","global_null","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,3000,0,0,0,0,0.005,0.002476,0.007524,0.004622,0.051333,0.043437,0.05923,0.045378
"global_null","global_null","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,3000,0,0,0,0,0.005333,0.002727,0.00794,0.004622,0.048333,0.040659,0.056008,0.045378
"global_null","global_null","equal_maxT_separate","separate_component_claims","equal",0.025,240,3000,0,0,0,0,0.001333,2.8e-05,0.002639,0.001957,0.019,0.014115,0.023885,0.025
"partial_null_AB_minus_A","partial_null","equal_iut_full","full_contribution","equal",0.025,240,3000,0,0.45,0,0,0.026667,0.020902,0.032432,0.024756,0.026667,0.020902,0.032432,0.025
"partial_null_AB_minus_A","partial_null","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,3000,0,0.45,0,0,0.027333,0.021499,0.033168,0.024756,0.027667,0.021797,0.033536,0.025
"partial_null_AB_minus_A","partial_null","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,3000,0,0.45,0,0,0.025667,0.020008,0.031326,0.024756,0.026333,0.020603,0.032063,0.025
"partial_null_AB_minus_A","partial_null","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,3000,0,0.45,0,0,0.024333,0.01882,0.029847,0.024756,0.024333,0.01882,0.029847,0.025
"partial_null_AB_minus_A","partial_null","equal_maxT_separate","separate_component_claims","equal",0.025,240,3000,0,0.45,0,0,0.015,0.01065,0.01935,0.013281,0.015333,0.010936,0.01973,0.013479
"partial_null_AB_minus_B","partial_null","equal_iut_full","full_contribution","equal",0.025,240,3000,0.45,0,0,0,0.019,0.014115,0.023885,0.024756,0.019,0.014115,0.023885,0.025
"partial_null_AB_minus_B","partial_null","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,3000,0.45,0,0,0,0.024,0.018523,0.029477,0.024756,0.024667,0.019116,0.030217,0.025
"partial_null_AB_minus_B","partial_null","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,3000,0.45,0,0,0,0.022,0.016751,0.027249,0.024756,0.022,0.016751,0.027249,0.025
"partial_null_AB_minus_B","partial_null","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,3000,0.45,0,0,0,0.028667,0.022695,0.034638,0.024756,0.029,0.022995,0.035005,0.025
"partial_null_AB_minus_B","partial_null","equal_maxT_separate","separate_component_claims","equal",0.025,240,3000,0.45,0,0,0,0.016667,0.012086,0.021248,0.013281,0.016667,0.012086,0.021248,0.013479
"heavy_tail_global_null","distribution_sensitivity","equal_iut_full","full_contribution","equal",0.025,300,3000,0,0,0,0,0.005333,0.002727,0.00794,0.004622,0.048667,0.040967,0.056366,0.045378
"heavy_tail_global_null","distribution_sensitivity","plugin_iut_full","full_contribution","plugin_joint_success",0.025,300,3000,0,0,0,0,0.004667,0.002228,0.007106,0.004622,0.056667,0.048393,0.06494,0.045378
"heavy_tail_global_null","distribution_sensitivity","conservative_iut_full","full_contribution","conservative_joint_success",0.025,300,3000,0,0,0,0,0.004,0.001741,0.006259,0.004622,0.035333,0.028727,0.04194,0.045378
"heavy_tail_global_null","distribution_sensitivity","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,300,3000,0,0,0,0,0.005,0.002476,0.007524,0.004622,0.044333,0.036968,0.051699,0.045378
"heavy_tail_global_null","distribution_sensitivity","equal_maxT_separate","separate_component_claims","equal",0.025,300,3000,0,0,0,0,0.001667,0.000207,0.003126,0.001957,0.022,0.016751,0.027249,0.025
