"scenario_label","scenario_family","method_id","claim_regime","allocation_strategy","alpha","N","nrep","truth_delta_AB_minus_A","truth_delta_AB_minus_B","plan_delta_AB_minus_A","plan_delta_AB_minus_B","margin_AB_minus_A","margin_AB_minus_B","allocation_A","allocation_B","allocation_AB","empirical_joint_success","empirical_joint_success_lcl","empirical_joint_success_ucl","analytic_joint_success","planned_analytic_joint_success","empirical_marginal_power_AB_minus_A","empirical_marginal_power_AB_minus_B"
"balanced_positive","alternative","equal_iut_full","full_contribution","equal",0.025,240,3000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.703,0.686649,0.719351,0.704031,0.704031,0.811333,0.813
"balanced_positive","alternative","plugin_iut_full","full_contribution","plugin_joint_success",0.025,240,3000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.687667,0.671083,0.704251,0.704031,0.704031,0.794,0.797667
"balanced_positive","alternative","conservative_iut_full","full_contribution","conservative_joint_success",0.025,240,3000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.706667,0.690374,0.722959,0.704031,0.704031,0.812333,0.816
"balanced_positive","alternative","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,240,3000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.704,0.687665,0.720335,0.704031,0.704031,0.811667,0.817333
"balanced_positive","alternative","equal_maxT_separate","separate_component_claims","equal",0.025,240,3000,0.45,0.45,0.45,0.45,0,0,0.333333,0.333333,0.333333,0.615,0.597587,0.632413,0.603361,0.603361,0.737,0.748333
"limiting_AB_minus_A","alternative","equal_iut_full","full_contribution","equal",0.025,260,3000,0.28,0.55,0.28,0.55,0,0,0.333333,0.333333,0.333333,0.439,0.421241,0.456759,0.44821,0.44821,0.443333,0.951333
"limiting_AB_minus_A","alternative","plugin_iut_full","full_contribution","plugin_joint_success",0.025,260,3000,0.28,0.55,0.28,0.55,0,0,0.39677,0.201108,0.402121,0.498333,0.480441,0.516226,0.499475,0.499475,0.52,0.912667
"limiting_AB_minus_A","alternative","conservative_iut_full","full_contribution","conservative_joint_success",0.025,260,3000,0.28,0.55,0.28,0.55,0,0,0.36603,0.270401,0.363569,0.477667,0.459792,0.495541,0.478501,0.478501,0.484333,0.941333
"limiting_AB_minus_A","alternative","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,260,3000,0.28,0.55,0.28,0.55,0,0,0.403847,0.192305,0.403847,0.505667,0.487776,0.523558,0.500391,0.500391,0.530667,0.895333
"limiting_AB_minus_A","alternative","equal_maxT_separate","separate_component_claims","equal",0.025,260,3000,0.28,0.55,0.28,0.55,0,0,0.333333,0.333333,0.333333,0.357333,0.340185,0.374482,0.34992,0.34992,0.364,0.913
"limiting_AB_minus_B","alternative","equal_iut_full","full_contribution","equal",0.025,260,3000,0.55,0.28,0.55,0.28,0,0,0.333333,0.333333,0.333333,0.444333,0.426552,0.462114,0.44821,0.44821,0.949,0.450333
"limiting_AB_minus_B","alternative","plugin_iut_full","full_contribution","plugin_joint_success",0.025,260,3000,0.55,0.28,0.55,0.28,0,0,0.201108,0.39677,0.402121,0.526333,0.508466,0.544201,0.499475,0.499475,0.911,0.546667
"limiting_AB_minus_B","alternative","conservative_iut_full","full_contribution","conservative_joint_success",0.025,260,3000,0.55,0.28,0.55,0.28,0,0,0.270401,0.36603,0.363569,0.477667,0.459792,0.495541,0.478501,0.478501,0.942333,0.483667
"limiting_AB_minus_B","alternative","marginal_iut_full","full_contribution","marginal_power_comparator",0.025,260,3000,0.55,0.28,0.55,0.28,0,0,0.192305,0.403847,0.403847,0.491333,0.473444,0.509223,0.500391,0.500391,0.879,0.521
"limiting_AB_minus_B","alternative","equal_maxT_separate","separate_component_claims","equal",0.025,260,3000,0.55,0.28,0.55,0.28,0,0,0.333333,0.333333,0.333333,0.375667,0.358336,0.392997,0.34992,0.34992,0.925,0.381667
