scenario_label,scenario_family,method_id,claim_regime,variance_method,distribution,alpha,N,nrep,empirical_joint_success,empirical_joint_success_lcl,empirical_joint_success_ucl,analytic_joint_success,empirical_false_full_contribution,empirical_any_true_reject
positive_margin,margin_sensitivity,equal_iut_full,full_contribution,common,normal,0.025,280,50000,0.781,0.777,0.784,0.783,NA,NA
positive_margin,margin_sensitivity,shared_arm_iut_full,full_contribution,common,normal,0.025,280,50000,0.791,0.787,0.794,0.791,NA,NA
positive_margin,margin_sensitivity,plugin_iut_full,full_contribution,common,normal,0.025,280,50000,0.783,0.779,0.786,0.783,NA,NA
positive_margin,margin_sensitivity,conservative_iut_full,full_contribution,common,normal,0.025,280,50000,0.785,0.781,0.788,0.783,NA,NA
positive_margin,margin_sensitivity,marginal_iut_full,full_contribution,common,normal,0.025,280,50000,0.779,0.776,0.783,0.783,NA,NA
positive_margin,margin_sensitivity,equal_maxT_separate,separate_component_claims,common,normal,0.025,280,50000,0.692,0.688,0.696,0.695,NA,NA
unequal_variance_positive,variance_sensitivity,equal_iut_full,full_contribution,welch,normal,0.025,270,50000,0.702,0.698,0.706,0.706,NA,NA
unequal_variance_positive,variance_sensitivity,shared_arm_iut_full,full_contribution,welch,normal,0.025,270,50000,0.699,0.695,0.703,0.698,NA,NA
unequal_variance_positive,variance_sensitivity,plugin_iut_full,full_contribution,welch,normal,0.025,270,50000,0.704,0.7,0.708,0.706,NA,NA
unequal_variance_positive,variance_sensitivity,conservative_iut_full,full_contribution,welch,normal,0.025,270,50000,0.705,0.701,0.709,0.706,NA,NA
unequal_variance_positive,variance_sensitivity,marginal_iut_full,full_contribution,welch,normal,0.025,270,50000,0.703,0.699,0.707,0.706,NA,NA
unequal_variance_positive,variance_sensitivity,equal_maxT_separate,separate_component_claims,welch,normal,0.025,270,50000,0.601,0.597,0.605,0.601,NA,NA
heavy_tail_global_null,distribution_sensitivity,equal_iut_full,full_contribution,common,t5,0.025,300,50000,0.005,0.004,0.005,0.005,0.005,0.046
heavy_tail_global_null,distribution_sensitivity,shared_arm_iut_full,full_contribution,common,t5,0.025,300,50000,0.004,0.003,0.004,0.004,0.004,0.048
heavy_tail_global_null,distribution_sensitivity,plugin_iut_full,full_contribution,common,t5,0.025,300,50000,0.005,0.004,0.005,0.005,0.005,0.045
heavy_tail_global_null,distribution_sensitivity,conservative_iut_full,full_contribution,common,t5,0.025,300,50000,0.005,0.004,0.006,0.005,0.005,0.046
heavy_tail_global_null,distribution_sensitivity,marginal_iut_full,full_contribution,common,t5,0.025,300,50000,0.005,0.004,0.006,0.005,0.005,0.046
heavy_tail_global_null,distribution_sensitivity,equal_maxT_separate,separate_component_claims,common,t5,0.025,300,50000,0.002,0.002,0.003,0.002,0.002,0.027
